,External Cost [$/kWh]
1857,65.0
1858,63.0
1859,59.0
1860,60.0
1861,61.0
1862,64.0
1863,67.0
1864,73.0
1865,85.0
1866,92.0
1867,79.0
1868,70.0
1869,66.0
1870,60.0
1871,59.0
1872,58.0
1873,57.0
1874,56.0
1875,57.0
1876,60.0
1877,67.0
1878,76.0
1879,74.0
1880,74.0
1881,80.0
1882,65.0
1883,56.0
1884,55.0
1885,58.0
1886,56.0
1887,60.0
1888,67.0
1889,74.0
1890,82.0
1891,74.0
1892,63.0
1893,63.0
1894,57.0
1895,59.0
1896,57.0
1897,55.0
1898,55.0
1899,56.0
1900,56.0
1901,55.0
1902,57.0
1903,62.0
1904,64.0
1905,64.0
1906,63.0
1907,60.0
1908,58.0
1909,58.0
1910,56.0
1911,55.0
1912,59.0
1913,65.0
1914,65.0
1915,58.0
1916,54.0
1917,53.0
1918,48.0
1919,48.0
1920,46.0
1921,45.0
1922,44.0
1923,45.0
1924,47.0
1925,47.0
1926,49.0
1927,49.0
1928,51.0
1929,51.0
1930,53.0
1931,51.0
1932,51.0
1933,50.0
1934,51.0
1935,52.0
1936,59.0
1937,70.0
1938,74.0
1939,70.0
1940,62.0
1941,63.0
1942,58.0
1943,55.0
1944,55.0
1945,55.0
1946,55.0
1947,54.0
1948,57.0
1949,69.0
1950,76.0
1951,74.0
1952,66.0
1953,61.0
1954,59.0
1955,57.0
1956,57.0
1957,57.0
1958,59.0
1959,65.0
1960,73.0
1961,83.0
1962,91.0
1963,78.0
1964,70.0
1965,66.0
1966,57.0
1967,61.0
1968,60.0
1969,59.0
1970,59.0
1971,59.0
1972,62.0
1973,74.0
1974,83.0
1975,83.0
1976,75.0
1977,70.0
1978,68.0
1979,66.0
1980,67.0
1981,68.0
1982,71.0
1983,72.0
1984,78.0
1985,88.0
1986,105.0
1987,84.0
1988,74.0
1989,69.0
1990,60.0
1991,59.0
1992,58.0
1993,59.0
1994,59.0
1995,59.0
1996,60.0
1997,73.0
1998,81.0
1999,80.0
2000,72.0
2001,66.0
2002,64.0
2003,63.0
2004,64.0
2005,64.0
2006,66.0
2007,69.0
2008,73.0
2009,80.0
2010,95.0
2011,74.0
2012,66.0
2013,60.0
2014,57.0
2015,55.0
2016,55.0
2017,54.0
2018,54.0
2019,56.0
2020,58.0
2021,63.0
2022,74.0
2023,81.0
2024,80.0
2025,76.0
2026,76.0
2027,72.0
2028,73.0
2029,70.0
2030,73.0
2031,73.0
2032,74.0
2033,83.0
2034,93.0
2035,73.0
2036,67.0
2037,60.0
2038,55.0
2039,56.0
2040,56.0
2041,55.0
2042,54.0
2043,55.0
2044,57.0
2045,66.0
2046,73.0
2047,71.0
2048,69.0
2049,65.0
2050,63.0
2051,61.0
2052,60.0
2053,57.0
2054,57.0
2055,59.0
2056,64.0
2057,70.0
2058,79.0
2059,68.0
2060,62.0
2061,61.0
2062,56.0
2063,56.0
2064,54.0
2065,56.0
2066,56.0
2067,55.0
2068,57.0
2069,61.0
2070,63.0
2071,62.0
2072,62.0
2073,59.0
2074,57.0
2075,54.0
2076,52.0
2077,51.0
2078,51.0
2079,52.0
2080,56.0
2081,61.0
2082,62.0
2083,55.0
2084,50.0
2085,50.0
2086,41.0
2087,38.0
2088,37.0
2089,59.906188999885174
2090,59.906188999885174
2091,59.906188999885174
2092,41.0
2093,41.0
2094,44.0
2095,44.0
2096,44.0
2097,48.0
2098,47.0
2099,43.0
2100,38.0
2101,31.0
2102,30.0
2103,33.0
