load,price,solar
72.88,64.0,0.0
69.4,57.0,0.0
67.82,44.0,0.0
64.13,42.0,0.0
62.21,40.0,0.0
60.98,39.0,0.0
62.26,44.0,0.0
69.66,47.0,0.0
81.22,59.0,0.0
91.21,80.0,1.0
95.08,85.0,14.0
96.62,84.0,40.0
97.46,85.0,67.0
97.17,85.0,89.0
95.27,81.0,99.0
96.19,80.0,95.0
95.47,78.0,78.0
92.47,79.0,53.0
92.55,80.0,25.0
96.6,92.0,5.0
97.88,96.0,0.0
94.12,89.0,0.0
86.7,80.0,0.0
81.54,70.0,0.0
80.6,66.0,0.0
76.17,59.0,0.0
70.04,26.0,0.0
67.66,26.0,0.0
66.24,25.0,0.0
64.65,26.0,0.0
65.76,26.0,0.0
72.22,27.0,0.0
81.86,35.0,0.0
91.02,46.0,1.0
93.71,47.0,14.0
95.16,47.0,43.0
95.65,48.0,75.0
94.1,48.0,101.0
95.16,48.0,120.0
93.27,47.0,121.0
91.0,46.0,100.0
89.42,46.0,68.0
90.17,49.0,31.0
93.09,56.0,6.0
93.78,62.0,0.0
89.63,57.0,0.0
83.08,45.0,0.0
77.07,41.0,0.0
77.61,38.0,0.0
72.69,33.0,0.0
69.54,32.0,0.0
67.22,31.0,0.0
66.27,30.0,0.0
65.89,30.0,0.0
68.01,31.0,0.0
74.63,34.0,0.0
84.72,45.0,0.0
92.6,60.0,4.0
97.94,59.0,31.0
97.1,56.0,81.0
98.63,54.0,141.0
99.35,54.0,195.0
96.94,51.0,226.0
95.31,49.0,220.0
95.29,48.0,178.0
95.4,49.0,115.0
95.77,50.0,51.0
99.02,60.0,10.0
98.73,75.0,0.0
93.87,60.0,0.0
88.07,51.0,0.0
80.87,45.0,0.0
79.52,43.0,0.0
75.26,35.0,0.0
69.05,30.0,0.0
66.75,31.0,0.0
65.02,31.0,0.0
63.42,32.0,0.0
63.66,32.0,0.0
70.29,33.0,0.0
79.99,45.0,0.0
89.53,59.0,2.0
93.34,58.0,17.0
95.5,52.0,51.0
94.72,48.0,94.0
93.56,46.0,145.0
91.53,43.0,176.0
89.67,43.0,173.0
88.88,42.0,147.0
87.74,45.0,103.0
87.9,48.0,50.0
93.18,56.0,11.0
96.43,78.0,0.0
90.26,63.0,0.0
84.62,51.0,0.0
80.04,44.0,0.0
80.24,43.0,0.0
73.09,31.0,0.0
69.53,33.0,0.0
